Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,random_forest_n100_depth10_leaf1,,0.3737,0.5477,39.8521,31.7992,29.9251,5072
hourly,validation,random_forest_n100_depth10_leaf1,0,0.2009,0.305,35.2394,29.4331,31.8579,211
hourly,validation,random_forest_n100_depth10_leaf1,1,0.152,0.2609,29.1137,25.1502,28.7042,211
hourly,validation,random_forest_n100_depth10_leaf1,2,0.1374,0.2404,27.047,24.1179,28.5913,211
hourly,validation,random_forest_n100_depth10_leaf1,3,0.114,0.2041,25.3995,21.9392,26.4043,211
hourly,validation,random_forest_n100_depth10_leaf1,4,0.1216,0.1889,28.8225,26.1762,29.5749,211
hourly,validation,random_forest_n100_depth10_leaf1,5,0.1416,0.206,30.0474,29.3176,32.3219,211
hourly,validation,random_forest_n100_depth10_leaf1,6,0.2886,0.3623,45.6202,35.9572,34.8559,211
hourly,validation,random_forest_n100_depth10_leaf1,7,0.5161,0.6407,45.0232,36.2494,29.1329,212
hourly,validation,random_forest_n100_depth10_leaf1,8,0.3856,0.4943,32.1411,26.9461,23.374,212
hourly,validation,random_forest_n100_depth10_leaf1,9,0.3162,0.4283,28.7112,23.1124,20.3635,212
hourly,validation,random_forest_n100_depth10_leaf1,10,0.3352,0.4812,27.5511,23.8038,22.1845,212
hourly,validation,random_forest_n100_depth10_leaf1,11,0.398,0.6236,39.0601,29.0333,26.3733,212
hourly,validation,random_forest_n100_depth10_leaf1,12,0.442,0.6472,42.9199,32.9694,30.3092,212
hourly,validation,random_forest_n100_depth10_leaf1,13,0.4138,0.5593,48.4048,35.6046,30.4921,212
hourly,validation,random_forest_n100_depth10_leaf1,14,0.4396,0.628,53.1742,38.0128,35.0592,212
hourly,validation,random_forest_n100_depth10_leaf1,15,0.4477,0.6548,54.0116,39.7375,37.6691,211
hourly,validation,random_forest_n100_depth10_leaf1,16,0.3993,0.567,46.559,36.8114,34.12,211
hourly,validation,random_forest_n100_depth10_leaf1,17,0.4803,0.7146,44.9697,37.2154,36.1626,211
hourly,validation,random_forest_n100_depth10_leaf1,18,0.5149,0.7075,43.8226,34.9121,31.53,211
hourly,validation,random_forest_n100_depth10_leaf1,19,0.6357,0.7975,36.814,34.0288,30.5605,211
hourly,validation,random_forest_n100_depth10_leaf1,20,0.6586,0.8294,40.021,32.6034,28.7515,211
hourly,validation,random_forest_n100_depth10_leaf1,21,0.5406,0.6731,39.7685,29.5503,26.2353,211
hourly,validation,random_forest_n100_depth10_leaf1,22,0.5064,0.6115,52.5271,36.9375,33.5712,211
hourly,validation,random_forest_n100_depth10_leaf1,23,0.3817,0.4819,59.6899,43.6029,42.9442,211
summary,test,random_forest_n100_depth10_leaf1,,0.3299,0.4744,44.8005,35.3065,34.4243,5073
hourly,test,random_forest_n100_depth10_leaf1,0,0.2349,0.3864,34.6025,31.2915,35.6301,211
hourly,test,random_forest_n100_depth10_leaf1,1,0.1877,0.3051,30.8643,29.3636,33.0574,211
hourly,test,random_forest_n100_depth10_leaf1,2,0.1716,0.2681,30.3028,29.2921,32.4883,211
hourly,test,random_forest_n100_depth10_leaf1,3,0.1286,0.2143,25.813,24.5988,27.5554,211
hourly,test,random_forest_n100_depth10_leaf1,4,0.1531,0.2375,31.4448,29.4735,33.0319,211
hourly,test,random_forest_n100_depth10_leaf1,5,0.1515,0.2491,32.5434,29.1784,33.7644,211
hourly,test,random_forest_n100_depth10_leaf1,6,0.259,0.325,52.9953,38.6879,39.7747,211
hourly,test,random_forest_n100_depth10_leaf1,7,0.4267,0.5441,50.4086,38.1118,32.271,211
hourly,test,random_forest_n100_depth10_leaf1,8,0.3264,0.4303,39.8102,30.2777,25.9508,211
hourly,test,random_forest_n100_depth10_leaf1,9,0.3307,0.456,40.2174,31.4234,27.6067,211
hourly,test,random_forest_n100_depth10_leaf1,10,0.3712,0.5095,48.4751,36.4706,32.6377,211
hourly,test,random_forest_n100_depth10_leaf1,11,0.3735,0.5276,46.8847,35.8299,32.8524,211
hourly,test,random_forest_n100_depth10_leaf1,12,0.3837,0.551,45.8627,35.825,34.729,211
hourly,test,random_forest_n100_depth10_leaf1,13,0.3545,0.4694,47.0492,36.6062,34.0411,211
hourly,test,random_forest_n100_depth10_leaf1,14,0.38,0.5165,56.6699,41.2428,38.6765,211
hourly,test,random_forest_n100_depth10_leaf1,15,0.3562,0.4833,51.5553,39.7578,39.25,212
hourly,test,random_forest_n100_depth10_leaf1,16,0.3276,0.4341,54.9319,40.2417,39.9042,212
hourly,test,random_forest_n100_depth10_leaf1,17,0.3521,0.4961,52.1603,40.4389,39.8353,212
hourly,test,random_forest_n100_depth10_leaf1,18,0.4605,0.6648,56.8582,42.6931,42.9828,212
hourly,test,random_forest_n100_depth10_leaf1,19,0.4325,0.5918,52.4715,37.8763,33.4022,212
hourly,test,random_forest_n100_depth10_leaf1,20,0.4743,0.6105,47.1632,35.7383,32.2406,212
hourly,test,random_forest_n100_depth10_leaf1,21,0.4978,0.6432,48.3693,36.3074,32.8276,212
hourly,test,random_forest_n100_depth10_leaf1,22,0.4321,0.5568,49.0005,35.855,35.7571,212
hourly,test,random_forest_n100_depth10_leaf1,23,0.3468,0.4899,48.4848,40.6247,40.8458,212
