Feature,Importance
lag_1h,0.733312
hour,0.089581
lag_168h,0.057763
lag_24h,0.042363
rolling_mean_24h,0.026524
rolling_std_7d,0.026182
day_of_week,0.010875
month,0.008493
is_weekend,0.002765
is_night,0.001181
is_holiday,0.000962
