Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,,0.3716,0.5403,38.3395,31.3751,29.8065,4976
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,0,0.2243,0.3305,39.4363,32.608,35.3182,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,1,0.1694,0.2889,29.3853,26.9008,31.957,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,2,0.1412,0.2364,26.396,24.8076,29.3703,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,3,0.1235,0.209,26.364,23.7718,28.4895,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,4,0.1162,0.208,24.3248,24.0871,28.1544,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,5,0.1467,0.2135,31.7047,30.1313,33.5248,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,6,0.2974,0.3899,40.3661,35.1359,35.926,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,7,0.5088,0.6448,41.3859,33.9352,28.7558,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,8,0.3776,0.5013,31.9983,25.9581,22.9634,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,9,0.3308,0.4412,29.7187,23.7812,21.3706,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,10,0.355,0.487,29.062,25.1575,23.5291,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,11,0.4091,0.6195,38.3049,29.8007,27.2397,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p001_bs64,12,0.4221,0.6102,42.3613,31.5018,29.1922,208
