epoch,train_loss,validation_loss
1,0.634595,0.432255
2,0.440969,0.400069
3,0.413916,0.377822
4,0.398461,0.357894
5,0.387156,0.362278
6,0.379978,0.354309
7,0.373687,0.359398
8,0.370693,0.347103
9,0.366008,0.344982
10,0.36566,0.347942
11,0.36293,0.354215
12,0.361485,0.346447
13,0.357871,0.34794
14,0.357124,0.346625
15,0.354633,0.355932
16,0.354306,0.347727
17,0.353822,0.344707
18,0.352559,0.347528
19,0.349521,0.345412
20,0.348182,0.354878
21,0.34873,0.355814
22,0.346215,0.348459
23,0.344429,0.346618
24,0.343409,0.351048
25,0.342095,0.349877
26,0.340142,0.35757
27,0.340521,0.349791
