epoch,train_loss,validation_loss
1,0.553964,0.405186
2,0.412771,0.392925
3,0.395214,0.363427
4,0.380428,0.350473
5,0.370183,0.354909
6,0.366095,0.351826
7,0.35964,0.34321
8,0.358313,0.343479
9,0.355125,0.344812
10,0.352536,0.344296
11,0.349614,0.344063
12,0.345061,0.341359
13,0.3429,0.338213
14,0.340173,0.342706
15,0.338213,0.342994
16,0.333943,0.341197
17,0.332615,0.339955
18,0.328698,0.348158
19,0.327368,0.343179
20,0.323309,0.353967
21,0.321916,0.349843
22,0.32057,0.362854
23,0.316505,0.347814
