Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,,0.3765,0.5373,40.3828,32.5011,30.1643,5024
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,0,0.2251,0.3286,39.7028,32.7953,35.6013,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,1,0.1717,0.282,31.3749,27.8947,32.3036,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,2,0.1511,0.2438,31.4026,26.5953,31.5263,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,3,0.1418,0.2143,32.7821,27.5296,32.7503,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,4,0.1413,0.213,34.0832,29.4638,34.2902,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,5,0.1857,0.2265,46.9617,38.2999,42.3034,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,6,0.3287,0.4173,48.3564,39.1424,39.8355,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,7,0.5222,0.647,47.7098,36.1409,29.4922,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,8,0.3779,0.492,31.5781,25.6687,22.9186,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,9,0.3413,0.451,30.7205,24.4926,22.0016,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,10,0.354,0.4823,29.395,24.7753,23.4171,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,11,0.4028,0.6158,38.6026,29.3027,26.6739,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p001_bs64,12,0.4243,0.6156,42.1906,31.7849,29.1276,210
