Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,,0.3724,0.5403,38.4668,31.5881,29.8393,5024
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,0,0.2228,0.3235,40.6573,32.6424,35.2307,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,1,0.1774,0.2983,32.4599,28.2309,33.3811,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,2,0.1453,0.2417,28.2618,25.3489,30.3016,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,3,0.129,0.213,28.6196,24.4148,29.7883,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,4,0.1236,0.2013,27.5947,25.7501,30.007,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,5,0.1498,0.2229,31.4167,30.3559,34.1323,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,6,0.3004,0.4016,39.8759,35.8176,36.3984,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,7,0.5308,0.6655,43.8295,35.7617,29.9778,210
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,8,0.3821,0.4962,32.7981,26.2665,23.1739,210
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,9,0.3388,0.4529,31.2406,24.3441,21.8416,210
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,10,0.3547,0.4805,29.8456,25.2377,23.465,210
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,11,0.4134,0.6157,39.4486,29.9495,27.3775,210
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,12,0.4293,0.6204,43.4566,32.1539,29.4737,210
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,13,0.4206,0.5648,46.8055,35.9853,31.0314,210
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,14,0.4254,0.611,49.4553,36.6059,34.0015,210
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,15,0.43,0.6404,47.7819,37.2994,36.12,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,16,0.3875,0.5582,41.4285,34.8048,33.1618,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,17,0.4557,0.6709,40.9105,34.7739,34.2468,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,18,0.4863,0.6663,41.457,33.7708,29.6947,209
hourly,validation,lstm_seq24_h128_l2_d0p0_lr0p0005_bs64,19,0.6565,0.8122,38.1829,34.27,31.5623,209
