Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,,0.3745,0.54,39.2568,31.9259,30.0088,5024
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,0,0.2268,0.3347,40.3551,32.9911,35.8665,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,1,0.1734,0.281,32.0695,28.3302,32.6225,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,2,0.1534,0.2468,31.6328,26.9199,31.9945,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,3,0.1368,0.2236,30.4512,26.0106,31.5989,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,4,0.1307,0.2145,29.0129,27.3946,31.7333,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,5,0.1617,0.2272,36.1074,32.8808,36.8253,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,6,0.2925,0.3872,38.5271,34.8564,35.4443,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,7,0.5039,0.6488,39.8539,33.175,28.4562,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,8,0.3859,0.5104,31.5545,26.4144,23.4057,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,9,0.3354,0.4482,30.2033,24.1557,21.6221,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,10,0.3588,0.4811,29.9238,25.4977,23.7366,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,11,0.4054,0.6134,39.1699,29.5113,26.8475,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,12,0.4264,0.6137,43.1214,31.9069,29.2718,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,13,0.4184,0.5681,46.2459,35.5616,30.8699,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,14,0.4349,0.6215,48.6566,36.862,34.7589,210
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,15,0.435,0.6339,47.4132,37.411,36.5401,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,16,0.3983,0.573,44.5547,35.908,34.0832,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,17,0.4814,0.6797,48.5058,37.8844,36.1801,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,18,0.5268,0.6883,46.5964,35.8674,32.1722,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,19,0.6364,0.7889,38.3563,33.0583,30.5931,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,20,0.619,0.7681,39.7361,30.743,27.1854,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,21,0.505,0.6385,35.2522,27.807,24.6378,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,22,0.4868,0.6083,43.7359,35.8071,32.1963,209
hourly,validation,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,23,0.3548,0.4639,51.1529,39.3271,39.8071,209
summary,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,,0.3327,0.4814,43.5003,35.4893,34.6825,5025
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,0,0.2409,0.4041,34.9161,32.3625,36.5151,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,1,0.1964,0.3185,29.7037,31.212,34.5644,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,2,0.1653,0.2692,27.74,28.4366,31.3427,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,3,0.1413,0.2448,26.452,26.7584,30.3662,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,4,0.151,0.2556,27.2483,28.7334,32.6145,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,5,0.1555,0.2664,30.6907,29.627,34.5686,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,6,0.2182,0.2946,35.9236,33.4424,33.465,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,7,0.4344,0.5616,45.2421,37.1972,32.9884,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,8,0.3282,0.4377,36.7077,28.5989,26.1474,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,9,0.335,0.4703,39.8539,30.6481,27.9358,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,10,0.3794,0.5211,46.9366,35.9235,33.2946,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,11,0.3759,0.5269,46.383,36.1715,32.9956,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,12,0.4163,0.5858,49.1765,39.2555,37.543,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,13,0.3518,0.4625,43.1232,35.8369,33.5694,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,14,0.3806,0.5155,52.1523,40.774,38.6484,209
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,15,0.3535,0.4932,48.7214,38.9652,38.982,210
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,16,0.3362,0.4354,55.3851,41.415,40.9918,210
hourly,test,lstm_seq24_h32_l1_d0p0_lr0p0005_bs64,17,0.3789,0.519,56.5883,43.5313,42.8698,210
