epoch,train_loss,validation_loss
1,0.494828,0.387684
2,0.400929,0.381372
3,0.385313,0.357869
4,0.375343,0.348121
5,0.366846,0.352107
6,0.363596,0.35642
7,0.355159,0.346014
8,0.354123,0.34129
9,0.350427,0.351433
10,0.345551,0.344874
11,0.343477,0.344532
12,0.338241,0.348526
13,0.336311,0.340768
14,0.331913,0.346893
15,0.329103,0.355243
16,0.322594,0.349634
17,0.320776,0.354585
18,0.315712,0.360253
19,0.310764,0.355911
20,0.306378,0.388596
21,0.303896,0.378797
22,0.300526,0.383291
23,0.296295,0.379177
