Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,,0.3723,0.5402,38.244,31.848,29.8597,4976
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,0,0.2232,0.3236,38.7582,32.4762,35.1418,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,1,0.1853,0.2932,36.3892,30.7019,34.9528,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,2,0.1555,0.235,32.5334,28.4493,32.3545,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,3,0.1392,0.2106,32.3289,27.1709,32.0972,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,4,0.1281,0.2,29.7741,26.822,31.0351,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,5,0.1448,0.219,30.6824,29.3564,33.0802,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,6,0.3114,0.4176,39.4148,37.1335,37.6114,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,7,0.5034,0.6526,41.8629,33.7251,28.45,208
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,8,0.3802,0.5012,31.2328,25.6408,23.1244,208
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,9,0.3344,0.4497,30.8562,23.8719,21.605,208
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,10,0.3527,0.4867,29.1034,24.9571,23.3753,208
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,11,0.4109,0.622,38.5003,30.0746,27.3571,208
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,12,0.4242,0.617,41.8375,31.7101,29.3392,208
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,13,0.4238,0.5684,46.0046,36.2175,31.4212,208
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,14,0.425,0.6072,47.8486,36.8422,34.0641,208
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,15,0.4409,0.6455,46.3366,38.205,37.2852,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,16,0.3803,0.5588,37.5542,33.912,32.4671,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,17,0.4624,0.6814,38.5045,34.9132,34.5671,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,18,0.5177,0.6837,41.9661,35.5855,31.4766,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,19,0.6285,0.7887,36.6375,32.8418,30.197,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,20,0.6158,0.7743,38.3405,30.5066,27.0738,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,21,0.5079,0.6497,33.9211,27.6955,24.832,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,22,0.4628,0.5799,42.7467,34.13,30.6171,207
hourly,validation,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,23,0.3755,0.4827,54.7147,41.4694,42.0628,207
summary,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,,0.3314,0.4805,42.9065,35.3242,34.4504,4977
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,0,0.2465,0.3964,37.6457,33.4874,37.2363,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,1,0.1925,0.3033,32.1075,30.4864,33.8214,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,2,0.1759,0.2666,31.9366,30.4014,33.3293,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,3,0.1562,0.2446,32.4447,29.3762,33.5331,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,4,0.1572,0.2439,32.2218,30.1065,33.9617,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,5,0.1552,0.2579,32.6255,29.6062,34.5964,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,6,0.2148,0.2888,37.8567,32.7379,33.039,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,7,0.4451,0.5767,50.2074,38.2962,33.9245,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,8,0.3187,0.4252,37.4009,28.1196,25.4395,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,9,0.3406,0.4705,43.2503,31.8567,28.3741,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,10,0.3877,0.5235,51.0081,37.4945,33.9522,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,11,0.3793,0.5269,46.7386,36.9794,33.1841,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,12,0.4087,0.5758,46.773,38.6094,36.6494,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,13,0.3519,0.4663,42.1829,35.9034,33.4025,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,14,0.3809,0.5147,50.5815,40.8173,38.4955,207
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,15,0.338,0.4744,43.7998,37.3104,37.1022,208
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,16,0.322,0.4246,48.5385,39.783,39.0542,208
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,17,0.359,0.509,46.78,40.4125,40.463,208
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,18,0.4203,0.6359,47.4864,40.1036,39.3954,208
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,19,0.4389,0.6119,48.2495,37.2435,33.5597,208
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,20,0.4418,0.5963,47.6827,33.9841,29.761,208
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,21,0.5307,0.6829,48.6164,38.0855,34.644,208
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,22,0.4361,0.5694,45.7615,36.7136,35.8255,208
hourly,test,lstm_seq48_h128_l2_d0p0_lr0p0005_bs64,23,0.3519,0.5087,47.6737,39.7422,41.2524,208
