epoch,train_loss,validation_loss
1,0.560685,0.408775
2,0.417991,0.395939
3,0.399991,0.363666
4,0.38431,0.350075
5,0.374439,0.355336
6,0.368969,0.353197
7,0.363086,0.341777
8,0.360789,0.342254
9,0.357918,0.34471
10,0.355156,0.342603
11,0.352481,0.341569
12,0.348932,0.342668
13,0.346488,0.337884
14,0.342965,0.342029
15,0.342633,0.34022
16,0.338182,0.339173
17,0.335944,0.339561
18,0.332566,0.342882
19,0.332162,0.340843
20,0.327691,0.353987
21,0.326516,0.348676
22,0.326248,0.362507
23,0.321314,0.346059
