epoch,train_loss,validation_loss
1,0.599702,0.430185
2,0.420888,0.399509
3,0.402003,0.385503
4,0.389778,0.378638
5,0.380949,0.372944
6,0.373895,0.365297
7,0.369462,0.355027
8,0.363402,0.354349
9,0.359956,0.358573
10,0.356652,0.344958
11,0.353562,0.349735
12,0.351184,0.353487
13,0.349308,0.349659
14,0.347475,0.349437
15,0.345946,0.343097
16,0.343287,0.346223
17,0.342345,0.344887
18,0.341064,0.351854
19,0.338995,0.345402
20,0.337784,0.348628
21,0.336808,0.345936
22,0.33559,0.343978
23,0.334101,0.35014
24,0.332572,0.354705
25,0.331786,0.3456
