epoch,train_loss,validation_loss
1,0.542945,0.398044
2,0.396967,0.380537
3,0.377308,0.358938
4,0.367965,0.350072
5,0.361872,0.349198
6,0.356903,0.356823
7,0.353007,0.344406
8,0.35061,0.346459
9,0.347338,0.345557
10,0.344007,0.349281
11,0.342297,0.34423
12,0.336664,0.345331
13,0.334883,0.340032
14,0.331935,0.344468
15,0.328855,0.348172
16,0.324436,0.345318
17,0.321893,0.343713
18,0.31765,0.353205
19,0.314826,0.347376
20,0.310928,0.366895
21,0.308941,0.357783
22,0.305678,0.362799
23,0.299016,0.360116
