Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,,0.3748,0.5399,38.6249,31.7998,30.063,4976
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,0,0.2168,0.3339,33.4355,30.0061,34.1354,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,1,0.1686,0.2936,27.9756,26.3928,31.808,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,2,0.1431,0.241,26.4097,25.0664,29.779,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,3,0.1316,0.2098,28.804,25.4949,30.3496,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,4,0.1227,0.2019,27.3115,25.5584,29.7136,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,5,0.1699,0.226,40.4676,34.7985,38.8182,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,6,0.3183,0.41,47.6755,37.0229,38.4475,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,7,0.5075,0.6326,46.5139,35.2008,28.6855,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,8,0.3908,0.5142,34.1814,26.7011,23.7683,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,9,0.346,0.4558,30.7308,24.7959,22.3551,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,10,0.3624,0.4913,29.3428,25.7765,24.0201,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,11,0.421,0.6246,38.9113,30.8078,28.0335,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,12,0.4249,0.6104,41.2736,31.8441,29.3817,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,13,0.4235,0.5671,45.1665,35.9816,31.3955,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,14,0.4279,0.6066,46.2187,36.4504,34.2947,208
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,15,0.4399,0.6449,45.412,37.9403,37.2031,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,16,0.3941,0.566,40.3533,35.5607,33.6486,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,17,0.4699,0.6739,44.038,36.5595,35.1244,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,18,0.5185,0.6869,45.6666,35.4274,31.5229,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,19,0.6214,0.771,38.2345,32.5237,29.8518,207
hourly,validation,lstm_seq48_h32_l2_d0p3_lr0p0005_bs64,20,0.6302,0.7849,40.8248,31.1025,27.7079,207
