Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,,0.3751,0.5428,38.2606,31.6744,30.0801,4976
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,0,0.2155,0.3289,34.6502,30.9433,33.9256,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,1,0.1663,0.2936,28.277,26.3705,31.3668,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,2,0.1437,0.246,26.6387,25.2181,29.9082,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,3,0.1169,0.1952,24.3405,22.8317,26.9493,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,4,0.1234,0.2049,26.9397,25.6944,29.8858,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,5,0.1607,0.2157,36.9226,33.4054,36.708,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,6,0.3396,0.4365,50.4556,39.4915,41.0153,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,7,0.4787,0.6164,44.9508,33.0486,27.0574,208
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,8,0.3893,0.5118,35.1909,26.9828,23.6761,208
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,9,0.3293,0.4366,31.113,23.829,21.2745,208
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,10,0.3595,0.479,29.6256,25.084,23.8283,208
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,11,0.4151,0.6303,38.8453,30.0296,27.6399,208
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,12,0.423,0.6185,42.7313,32.025,29.2515,208
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,13,0.427,0.5739,46.6734,36.3166,31.6578,208
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,14,0.4254,0.6034,47.1503,36.0931,34.096,208
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,15,0.4396,0.6452,45.5784,37.5564,37.1774,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,16,0.386,0.5514,38.5156,34.4189,32.9558,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,17,0.4583,0.6615,40.1753,34.951,34.2598,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,18,0.5236,0.6872,43.1825,35.4587,31.8331,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,19,0.647,0.8024,38.6107,33.4394,31.0834,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,20,0.6359,0.7846,40.2368,31.4162,27.9582,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,21,0.5338,0.6834,35.5479,29.097,26.1004,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,22,0.4982,0.6156,42.2308,36.6507,32.9594,207
hourly,validation,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,23,0.3643,0.4766,49.6216,39.8823,40.8042,207
summary,test,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,,0.3353,0.4863,43.7488,35.3757,34.862,4977
hourly,test,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,0,0.2535,0.4172,36.4094,33.7502,38.3029,207
hourly,test,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,1,0.1889,0.3177,27.5358,28.7358,33.1863,207
hourly,test,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,2,0.1677,0.2745,27.06,28.9803,31.7688,207
hourly,test,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,3,0.1295,0.2368,23.5391,23.8921,27.8015,207
hourly,test,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,4,0.153,0.2489,29.0959,29.1169,33.0379,207
hourly,test,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,5,0.1557,0.2525,33.1607,29.9055,34.7247,207
hourly,test,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,6,0.2466,0.3161,45.5683,35.6447,37.9335,207
hourly,test,lstm_seq48_h64_l2_d0p0_lr0p001_bs64,7,0.4373,0.5699,54.7162,37.653,33.3302,207
