epoch,train_loss,validation_loss
1,0.531762,0.410822
2,0.407563,0.378785
3,0.39138,0.375202
4,0.378886,0.358119
5,0.372926,0.357559
6,0.370892,0.349346
7,0.363792,0.358342
8,0.361899,0.347814
9,0.35953,0.344575
10,0.356444,0.347162
11,0.353199,0.357217
12,0.352641,0.348349
13,0.348584,0.344
14,0.348171,0.342802
15,0.346696,0.358276
16,0.342125,0.35419
17,0.343077,0.351993
18,0.338161,0.344978
19,0.336716,0.349301
20,0.335992,0.344772
21,0.332234,0.355558
22,0.331606,0.349363
23,0.330905,0.356021
24,0.329984,0.356573
