epoch,train_loss,validation_loss
1,0.592892,0.430337
2,0.420631,0.403478
3,0.401209,0.391793
4,0.388615,0.37717
5,0.379972,0.365474
6,0.372752,0.356892
7,0.366007,0.36246
8,0.361823,0.352554
9,0.358248,0.356377
10,0.355206,0.342103
11,0.352557,0.34231
12,0.350293,0.343758
13,0.348432,0.346469
14,0.346836,0.347832
15,0.344667,0.347001
16,0.343337,0.343951
17,0.341903,0.343922
18,0.340243,0.34253
19,0.338742,0.347532
20,0.336763,0.342012
21,0.336563,0.347891
22,0.334743,0.342902
23,0.333077,0.349721
24,0.333053,0.343605
25,0.331063,0.345937
26,0.330006,0.342589
27,0.329571,0.344036
28,0.327236,0.344534
29,0.326742,0.349944
30,0.325527,0.344813
