Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,,0.3786,0.541,39.2967,32.57,30.3622,4976
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,0,0.2293,0.3426,34.8738,32.2267,36.1015,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,1,0.1735,0.2844,30.2066,28.1079,32.7326,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,2,0.149,0.2354,28.9395,26.7309,30.9997,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,3,0.1348,0.2107,30.3601,26.3444,31.0911,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,4,0.1327,0.1968,31.7282,28.2885,32.1538,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,5,0.193,0.2353,49.2458,39.5792,44.0971,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,6,0.3323,0.4307,50.6467,38.5864,40.1389,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,7,0.5126,0.6318,45.7552,35.6175,28.9689,208
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,8,0.3901,0.5092,33.7207,26.9218,23.7247,208
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,9,0.3533,0.4633,31.214,25.3603,22.8219,208
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,10,0.3571,0.4795,28.7319,25.4813,23.671,208
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,11,0.4288,0.6301,38.7679,31.3502,28.5534,208
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,12,0.4257,0.6147,41.5965,32.1295,29.4366,208
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,13,0.4218,0.5658,44.9721,35.8972,31.2708,208
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,14,0.4259,0.6043,46.9337,36.5887,34.1404,208
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,15,0.4379,0.6375,47.4073,37.8478,37.035,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,16,0.3973,0.566,43.4944,36.139,33.9181,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,17,0.4667,0.6753,43.904,36.1782,34.8895,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,18,0.5282,0.6939,44.6153,35.5796,32.112,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,19,0.6254,0.7744,37.5385,32.8142,30.0484,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,20,0.6065,0.7578,38.3907,30.3066,26.6627,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,21,0.5251,0.6707,33.7193,28.7925,25.6762,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,22,0.4814,0.6062,39.5341,35.4371,31.8468,207
hourly,validation,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,23,0.3558,0.4774,46.8371,39.4289,39.851,207
summary,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,,0.3312,0.4801,41.8823,35.1611,34.4279,4977
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,0,0.244,0.4129,33.3493,32.4599,36.8685,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,1,0.1936,0.326,28.0082,29.9494,34.0226,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,2,0.1663,0.2767,26.4149,27.7437,31.5106,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,3,0.1394,0.2348,26.7137,26.0045,29.9288,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,4,0.1617,0.2466,32.9274,31.2693,34.9288,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,5,0.1846,0.2673,43.4414,35.9266,41.1654,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,6,0.2412,0.3063,44.1071,35.4295,37.0953,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,7,0.4354,0.556,49.5586,37.8171,33.1883,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,8,0.3057,0.4118,36.2437,27.4931,24.4027,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,9,0.3547,0.4786,40.8597,32.6241,29.5452,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,10,0.385,0.5321,45.1579,36.0521,33.7209,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,11,0.3971,0.5425,44.6848,37.9112,34.7416,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,12,0.4148,0.5793,44.8456,38.9133,37.189,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,13,0.3521,0.4639,40.7333,36.3194,33.4258,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,14,0.3735,0.5169,47.002,39.6168,37.7469,207
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,15,0.3344,0.4779,43.3653,36.8314,36.7111,208
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,16,0.3254,0.425,50.5218,39.9103,39.4676,208
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,17,0.3611,0.5009,50.2833,41.0215,40.6995,208
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,18,0.4222,0.6309,49.8943,39.9143,39.5729,208
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,19,0.4331,0.5991,50.4803,37.1641,33.1143,208
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,20,0.4398,0.5804,47.0429,33.5814,29.6267,208
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,21,0.5208,0.6751,47.0218,37.2649,34.003,208
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,22,0.4193,0.5565,40.6337,34.9069,34.445,208
hourly,test,lstm_seq48_h64_l2_d0p3_lr0p0005_bs64,23,0.3395,0.5209,41.6728,37.6363,39.7936,208
