epoch,train_loss,validation_loss
1,0.626867,0.432531
2,0.435729,0.398578
3,0.413783,0.383966
4,0.399429,0.371394
5,0.389199,0.36474
6,0.38523,0.357966
7,0.37649,0.361205
8,0.376057,0.352791
9,0.372959,0.351569
10,0.369835,0.358554
11,0.368881,0.356064
12,0.365322,0.34984
13,0.363522,0.348319
14,0.360747,0.344439
15,0.360666,0.355432
16,0.358361,0.359743
17,0.358919,0.354227
18,0.355685,0.345432
19,0.352915,0.349525
20,0.352398,0.34503
21,0.350715,0.352827
22,0.349764,0.344804
23,0.351646,0.351793
24,0.348428,0.348453
