epoch,train_loss,validation_loss
1,0.619172,0.430444
2,0.427136,0.396106
3,0.40558,0.381438
4,0.392661,0.37043
5,0.384364,0.364054
6,0.380586,0.356867
7,0.372946,0.361454
8,0.371314,0.353554
9,0.369559,0.351338
10,0.365735,0.359284
11,0.364117,0.356358
12,0.362275,0.350766
13,0.359465,0.348053
14,0.356968,0.345191
15,0.355964,0.356277
16,0.352929,0.360316
17,0.353541,0.357699
18,0.349432,0.346066
19,0.348307,0.349869
20,0.346882,0.345819
21,0.345355,0.35415
22,0.345087,0.346922
23,0.344831,0.352709
24,0.343312,0.349059
