Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,,0.372,0.5398,38.3627,31.601,29.8327,4976
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,0,0.2259,0.3349,37.0265,33.2817,35.575,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,1,0.1709,0.2961,28.9115,27.2194,32.2335,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,2,0.1434,0.2433,26.6065,25.5227,29.8307,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,3,0.1211,0.2045,25.7362,23.1896,27.9205,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,4,0.1234,0.2011,28.0549,25.5532,29.8898,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,5,0.1537,0.2207,34.0742,31.4586,35.1076,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,6,0.2886,0.3878,37.9741,34.4614,34.8618,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,7,0.5081,0.6411,42.2264,34.3367,28.7168,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,8,0.4004,0.5136,34.7862,27.1569,24.3532,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,9,0.3356,0.4544,32.2966,23.7883,21.6782,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,10,0.3573,0.4789,30.6332,25.1111,23.68,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,11,0.4086,0.6173,40.1597,29.8059,27.2093,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,12,0.4296,0.6202,44.8087,32.3022,29.7077,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,13,0.42,0.5674,48.0582,36.423,31.1374,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,14,0.4354,0.6121,49.6164,37.4919,34.8977,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,15,0.4359,0.64,47.8935,37.892,36.8676,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p001_bs64,16,0.3887,0.5549,41.9029,35.2228,33.1839,207
