epoch,train_loss,validation_loss
1,0.632707,0.433912
2,0.443004,0.409697
3,0.415239,0.37463
4,0.395629,0.364042
5,0.386202,0.353955
6,0.379907,0.349947
7,0.375499,0.347235
8,0.372231,0.354757
9,0.368854,0.347754
10,0.366468,0.35413
11,0.363544,0.346518
12,0.361917,0.354807
13,0.360292,0.347077
14,0.35824,0.347018
15,0.3567,0.353483
16,0.356483,0.350768
17,0.353499,0.350037
18,0.354647,0.346969
19,0.353577,0.350074
20,0.351494,0.346417
21,0.351125,0.341247
22,0.348709,0.34441
23,0.347811,0.342299
24,0.346113,0.352864
25,0.344864,0.348997
26,0.344041,0.350354
27,0.343098,0.348307
28,0.340444,0.349806
29,0.340299,0.344363
30,0.340884,0.347449
31,0.338931,0.351424
