epoch,train_loss,validation_loss
1,0.624701,0.432019
2,0.433229,0.408299
3,0.410059,0.377432
4,0.391664,0.362567
5,0.381724,0.354986
6,0.373976,0.349432
7,0.371284,0.346665
8,0.367339,0.354064
9,0.363539,0.346784
10,0.362635,0.352566
11,0.358267,0.348072
12,0.35739,0.35367
13,0.356721,0.347967
14,0.354304,0.345517
15,0.35305,0.353345
16,0.351171,0.351381
17,0.348681,0.348055
18,0.350276,0.346864
19,0.348275,0.350441
20,0.346835,0.346623
21,0.346258,0.342038
22,0.343637,0.347214
23,0.342486,0.341687
24,0.340921,0.351467
25,0.339159,0.347483
26,0.339068,0.351103
27,0.337512,0.34907
28,0.335493,0.351088
29,0.334213,0.345223
30,0.334775,0.349585
31,0.332239,0.350441
32,0.331697,0.349572
33,0.331477,0.349843
