Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,,0.381,0.5437,40.921,32.4561,30.4804,5048
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,0,0.2497,0.3547,47.5851,36.2636,39.4897,209
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,1,0.1896,0.302,35.6291,29.9772,35.6619,209
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,2,0.1537,0.2523,30.4442,26.3382,32.0742,209
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,3,0.1315,0.2195,28.7008,24.6353,30.3788,209
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,4,0.1282,0.199,29.2053,27.0254,31.1143,209
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,5,0.1543,0.2196,33.4962,31.8777,35.1602,209
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,6,0.2979,0.3892,41.6962,35.8498,36.0993,209
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,7,0.5048,0.6338,43.0212,34.3884,28.5094,210
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,8,0.3926,0.5121,33.8496,26.6679,23.8089,210
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,9,0.3377,0.4526,31.293,24.0127,21.771,210
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,10,0.3606,0.4893,30.9915,25.3802,23.8556,210
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,11,0.4243,0.6246,41.2688,30.6086,28.0983,210
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,12,0.4378,0.619,45.2493,32.9099,30.0175,212
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,13,0.4227,0.5648,47.9987,35.8535,31.1479,212
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,14,0.4381,0.6042,51.6665,37.6967,34.9424,212
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,15,0.4393,0.6417,51.9166,38.7093,36.9554,211
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,16,0.405,0.5572,46.6515,37.3198,34.611,211
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,17,0.4527,0.6377,45.2308,35.9104,34.0851,211
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,18,0.5211,0.6823,46.2766,35.7555,31.9078,211
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,19,0.6549,0.8023,40.0714,33.6719,31.4832,211
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,20,0.6268,0.7905,38.2405,30.6044,27.3634,211
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,21,0.5335,0.6833,35.9468,28.9422,25.8883,211
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,22,0.4862,0.6088,44.435,35.2373,32.2333,211
hourly,validation,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,23,0.3891,0.4954,60.6435,43.0215,43.7727,211
summary,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,,0.3333,0.4806,43.5645,35.2091,34.7663,5049
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,0,0.2557,0.4069,39.5413,34.6033,38.7612,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,1,0.189,0.308,29.5935,29.3866,33.2618,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,2,0.1646,0.2639,27.9907,28.2697,31.217,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,3,0.1349,0.2301,26.2382,25.4907,28.9991,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,4,0.1554,0.2454,30.663,29.7792,33.5777,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,5,0.1501,0.2492,30.8424,28.9378,33.384,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,6,0.2099,0.2799,37.1814,31.7379,32.1977,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,7,0.4378,0.5558,48.2621,37.7957,33.2491,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,8,0.3253,0.4375,39.0001,29.2283,25.9204,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,9,0.3474,0.4685,42.4757,32.2848,28.9711,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,10,0.3817,0.5212,49.7129,36.3945,33.4978,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,11,0.3787,0.5249,47.8828,36.4519,33.2377,209
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,12,0.4132,0.5751,49.1047,38.7945,37.4023,211
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,13,0.3534,0.4622,44.4609,36.2267,33.9375,211
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,14,0.3824,0.5169,51.3456,40.8824,38.9211,211
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,15,0.3371,0.4704,46.0443,37.9182,37.1452,212
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,16,0.3328,0.4412,51.6228,40.3038,40.5429,212
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,17,0.3658,0.5108,50.8911,40.6158,41.3815,212
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,18,0.455,0.6608,56.3783,42.826,42.47,212
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,19,0.4734,0.6211,59.2732,39.4022,36.5577,212
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,20,0.4612,0.6025,49.7302,34.9757,31.3455,212
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,21,0.5128,0.6635,46.5686,37.1094,33.8156,212
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,22,0.4161,0.5549,42.2122,35.4645,34.43,212
hourly,test,lstm_seq12_h128_l2_d0p2_lr0p0005_bs64,23,0.3543,0.5077,47.5604,39.5909,41.7233,212
