Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,,0.3788,0.5414,40.6913,32.585,30.3808,4976
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,0,0.2151,0.3281,36.7073,31.6205,33.8745,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,1,0.1704,0.29,28.8964,27.7019,32.1345,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,2,0.1395,0.238,26.1328,24.4027,29.0232,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,3,0.1323,0.2181,29.7915,25.2731,30.5044,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,4,0.1332,0.2,32.236,28.1925,32.2729,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,5,0.2135,0.259,56.152,42.262,48.7887,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,6,0.3684,0.4691,58.9667,40.981,44.4996,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,7,0.4974,0.6116,48.9157,34.9218,28.1111,208
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,8,0.3802,0.5005,32.1985,26.0872,23.1241,208
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,9,0.3291,0.4478,29.9307,23.7708,21.2611,208
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,10,0.3647,0.4888,29.8219,25.9399,24.1685,208
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,11,0.4142,0.6238,38.156,30.1835,27.5821,208
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,12,0.4219,0.6168,41.2183,31.8639,29.1763,208
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,13,0.4185,0.5629,45.886,35.7501,31.0242,208
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,14,0.4274,0.6071,49.104,37.1609,34.2562,208
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,15,0.4297,0.625,47.6921,37.6714,36.3379,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,16,0.3907,0.5603,43.7693,35.9647,33.36,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,17,0.4857,0.6783,49.1105,38.4845,36.3042,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,18,0.5425,0.6974,49.497,36.5877,32.9845,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,19,0.6484,0.7965,40.5146,33.6452,31.152,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,20,0.6234,0.7751,38.9546,30.7326,27.4068,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,21,0.5041,0.6501,32.0047,27.4349,24.6456,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,22,0.4733,0.5996,38.9191,34.8358,31.3091,207
hourly,validation,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,23,0.3666,0.4731,52.0643,40.6451,41.067,207
summary,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,,0.3377,0.4844,44.3244,36.3412,35.1123,4977
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,0,0.242,0.4093,33.4615,33.0398,36.5572,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,1,0.1936,0.329,27.1346,30.9862,34.0161,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,2,0.1762,0.289,28.259,30.4687,33.3848,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,3,0.1475,0.2491,27.9645,27.5029,31.6505,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,4,0.1598,0.2489,32.8501,30.6813,34.5167,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,5,0.2135,0.2902,52.5555,40.6548,47.6128,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,6,0.2945,0.3604,58.5107,41.1196,45.3076,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,7,0.43,0.5441,54.8178,38.2164,32.7737,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,8,0.3188,0.4274,40.7267,29.9617,25.4488,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,9,0.3501,0.4708,43.1952,33.506,29.1645,207
hourly,test,lstm_seq48_h64_l1_d0p0_lr0p001_bs64,10,0.3849,0.5202,48.6882,37.8655,33.7082,207
