epoch,train_loss,validation_loss
1,0.539037,0.414992
2,0.404555,0.385042
3,0.377139,0.357226
4,0.36589,0.348578
5,0.35988,0.342965
6,0.355415,0.345509
7,0.351853,0.341225
8,0.349513,0.346182
9,0.346136,0.342501
10,0.343977,0.343079
11,0.340224,0.346269
12,0.338715,0.347914
13,0.334517,0.338128
14,0.333275,0.342557
15,0.330471,0.341537
16,0.32764,0.349969
17,0.325211,0.350863
18,0.323018,0.347013
19,0.320623,0.34185
20,0.317661,0.349052
21,0.315589,0.350615
22,0.312953,0.349374
23,0.309007,0.356026
