Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,,0.3704,0.5401,37.0087,31.3771,29.7089,4976
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0,0.2199,0.3307,33.5732,31.3993,34.6317,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,1,0.1633,0.2807,26.8348,26.0599,30.7956,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,2,0.1368,0.2373,24.6615,23.8046,28.471,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,3,0.1239,0.2091,26.1082,23.6068,28.5603,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,4,0.1204,0.1938,27.0595,25.2595,29.1674,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,5,0.1748,0.2256,42.2807,35.9305,39.9285,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,6,0.3166,0.4184,44.6935,37.1223,38.244,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,7,0.4943,0.635,41.9006,33.9705,27.936,208
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,8,0.3797,0.4993,31.7303,25.9908,23.0945,208
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,9,0.3355,0.4451,29.8854,24.2383,21.6718,208
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,10,0.3522,0.4802,28.0289,25.0283,23.3448,208
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,11,0.4163,0.6282,37.5285,30.3964,27.7196,208
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,12,0.4216,0.6163,40.2893,31.4363,29.1567,208
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,13,0.4156,0.5667,43.16,35.473,30.811,208
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,14,0.4275,0.6142,44.9697,36.1763,34.2697,208
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,15,0.437,0.6438,45.1824,37.3461,36.9578,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,16,0.3944,0.5736,40.4854,35.0334,33.6736,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,17,0.4712,0.6931,41.7861,35.5743,35.2253,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,18,0.5228,0.6922,42.9544,35.2196,31.787,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,19,0.6397,0.7936,37.4712,33.375,30.733,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,20,0.6118,0.7642,37.662,30.0095,26.8982,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,21,0.5,0.6503,32.3337,27.1424,24.4453,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,22,0.4583,0.5742,38.9039,33.8509,30.3196,207
hourly,validation,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,23,0.3551,0.473,48.7186,39.6467,39.7759,207
summary,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,,0.3267,0.4826,39.308,34.5356,33.9633,4977
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,0,0.2461,0.4167,33.2859,33.9342,37.1824,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,1,0.1933,0.3254,26.869,30.3248,33.9725,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,2,0.1656,0.2799,25.1679,27.8192,31.3835,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,3,0.128,0.2351,22.556,23.2881,27.4836,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,4,0.1503,0.249,28.1848,28.4012,32.4553,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,5,0.1678,0.2652,37.1145,32.0097,37.4189,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,6,0.226,0.3011,39.0844,33.4114,34.762,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,7,0.4351,0.5679,46.9873,37.289,33.1631,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,8,0.3051,0.411,33.9689,27.1131,24.3579,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,9,0.3377,0.4714,39.4578,32.2144,28.1351,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,10,0.3775,0.53,43.7435,35.8419,33.057,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,11,0.3942,0.5438,43.9455,38.7668,34.4859,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,12,0.4105,0.5855,42.2539,38.327,36.8091,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,13,0.3535,0.474,39.2945,36.9436,33.5602,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,14,0.3745,0.5247,44.3762,39.2922,37.8502,207
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,15,0.3288,0.4845,39.6085,35.9451,36.0971,208
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,16,0.316,0.4261,46.0803,38.4394,38.3228,208
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,17,0.3519,0.5021,46.2354,39.3597,39.6611,208
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,18,0.4191,0.64,46.6266,39.3254,39.2811,208
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,19,0.4378,0.5991,47.5382,37.075,33.4798,208
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,20,0.4446,0.5916,44.4529,33.3197,29.9495,208
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,21,0.5122,0.6694,44.692,36.9457,33.4383,208
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,22,0.4231,0.5614,40.8417,35.983,34.7582,208
hourly,test,lstm_seq48_h64_l2_d0p2_lr0p0005_bs64,23,0.3386,0.5158,40.8188,37.3744,39.6877,208
