Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,,0.3761,0.5413,39.2998,32.0927,30.1617,4976
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,0,0.2237,0.3308,37.6031,32.4911,35.2168,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,1,0.1707,0.2814,30.6034,27.9339,32.1895,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,2,0.1491,0.2437,29.5887,26.3215,31.0313,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,3,0.1343,0.2194,28.9313,25.9385,30.9664,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,4,0.1273,0.2128,27.3803,26.7313,30.842,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,5,0.1587,0.2229,35.8584,32.4527,36.2609,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,6,0.3019,0.3995,39.7336,35.4315,36.4688,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,7,0.5269,0.6613,42.3261,35.4033,29.7784,208
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,8,0.3731,0.4994,29.9603,25.7428,22.6935,208
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,9,0.3447,0.4575,30.2377,24.9482,22.2676,208
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,10,0.3586,0.4829,29.3821,25.4206,23.7648,208
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,11,0.4012,0.6107,38.8804,29.4997,26.7167,208
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,12,0.4268,0.6126,43.1372,32.3428,29.5167,208
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,13,0.421,0.5726,46.1396,35.9498,31.2087,208
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,14,0.4377,0.6256,49.3612,37.1825,35.0815,208
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,15,0.4363,0.6416,49.1811,37.756,36.8979,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,16,0.3983,0.5632,46.1126,36.3428,34.0051,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,17,0.4998,0.6967,51.3677,39.121,37.3624,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,18,0.5368,0.6945,49.1702,36.5099,32.634,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,19,0.6238,0.7708,38.5301,32.4111,29.97,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,20,0.6262,0.7803,40.2978,31.1209,27.5311,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,21,0.5191,0.6492,35.7057,28.5302,25.3806,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,22,0.4694,0.5859,42.2078,34.7508,31.0508,207
hourly,validation,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,23,0.359,0.4687,51.5222,39.942,40.2111,207
summary,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,,0.3314,0.4805,42.7508,35.1634,34.4578,4977
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,0,0.2437,0.4069,34.8219,32.4441,36.8132,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,1,0.1904,0.312,28.4876,30.244,33.4509,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,2,0.1705,0.275,28.4704,29.5685,32.3019,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,3,0.1362,0.2452,24.7517,25.1293,29.2293,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,4,0.149,0.2524,27.15,28.2733,32.1881,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,5,0.1528,0.2625,31.1188,28.676,34.0629,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,6,0.2172,0.2932,36.4248,32.8529,33.4039,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,7,0.4435,0.5595,47.0368,38.3217,33.8065,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,8,0.3112,0.424,34.5513,27.6522,24.8466,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,9,0.3476,0.4783,39.8802,32.1725,28.959,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,10,0.3785,0.5212,46.3339,35.8911,33.1515,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,11,0.3786,0.5314,45.9759,36.4285,33.1263,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,12,0.4071,0.5752,47.0642,38.3117,36.5007,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,13,0.353,0.469,42.5959,35.9447,33.5093,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,14,0.381,0.5193,51.312,40.3507,38.5078,207
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,15,0.357,0.4978,48.9234,39.3438,39.1887,208
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,16,0.3411,0.4415,56.091,41.6696,41.373,208
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,17,0.38,0.5184,56.6777,43.1325,42.8374,208
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,18,0.4391,0.6338,56.7111,42.0548,41.1546,208
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,19,0.4446,0.5946,54.1098,38.3503,34.0,208
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,20,0.454,0.5975,49.4828,34.8187,30.5811,208
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,21,0.5105,0.663,48.283,37.5861,33.3297,208
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,22,0.416,0.5513,43.2908,35.33,34.1755,208
hourly,test,lstm_seq48_h32_l1_d0p0_lr0p0005_bs64,23,0.3485,0.5069,46.1134,39.2059,40.8498,208
