epoch,train_loss,validation_loss
1,0.625558,0.42898
2,0.431602,0.397127
3,0.40819,0.374496
4,0.392192,0.357267
5,0.381638,0.36284
6,0.373604,0.354359
7,0.36877,0.359793
8,0.365879,0.347968
9,0.361407,0.347165
10,0.360622,0.348389
11,0.359182,0.355512
12,0.357554,0.348915
13,0.353036,0.351232
14,0.352379,0.348158
15,0.34994,0.359362
16,0.35048,0.353126
17,0.349021,0.346082
18,0.347639,0.348282
19,0.344214,0.345135
20,0.34358,0.359801
21,0.34449,0.35834
22,0.340204,0.348016
23,0.340233,0.348603
24,0.338583,0.350893
25,0.336632,0.350359
26,0.3354,0.362336
27,0.335315,0.352615
28,0.335789,0.352961
29,0.333286,0.351901
