epoch,train_loss,validation_loss
1,0.538544,0.412356
2,0.414172,0.378948
3,0.397546,0.373399
4,0.385335,0.359413
5,0.376531,0.356992
6,0.374283,0.349136
7,0.366104,0.359366
8,0.365498,0.345665
9,0.362657,0.346562
10,0.359731,0.348416
11,0.357903,0.357857
12,0.35504,0.347629
13,0.352749,0.343913
14,0.35112,0.342272
15,0.350322,0.356838
16,0.347302,0.352986
17,0.347216,0.350852
18,0.343689,0.342709
19,0.341258,0.347646
20,0.339488,0.343485
21,0.339121,0.353491
22,0.336003,0.3457
23,0.338208,0.357269
24,0.335656,0.353142
