epoch,train_loss,validation_loss
1,0.604945,0.428927
2,0.420009,0.402064
3,0.398683,0.388614
4,0.387393,0.381365
5,0.379161,0.366945
6,0.371873,0.362846
7,0.367021,0.358991
8,0.36312,0.354825
9,0.361065,0.354046
10,0.357113,0.349955
11,0.354938,0.353039
12,0.35292,0.34657
13,0.350052,0.348601
14,0.348758,0.353493
15,0.346515,0.350343
16,0.344866,0.347479
17,0.343906,0.352641
18,0.342282,0.346424
19,0.34044,0.350695
20,0.339436,0.346505
21,0.338593,0.350462
22,0.337492,0.346657
23,0.335984,0.348953
24,0.33454,0.34782
25,0.333023,0.343101
26,0.332795,0.351234
27,0.331222,0.348381
28,0.329803,0.347419
29,0.329245,0.348703
30,0.327445,0.347872
31,0.326238,0.350385
32,0.32628,0.350503
33,0.324458,0.351461
34,0.323248,0.351919
35,0.322807,0.350038
