Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,,0.3762,0.5429,39.5321,32.053,30.173,4976
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,0,0.23,0.3337,39.7021,33.1839,36.2111,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,1,0.1699,0.2879,30.6536,26.8595,32.0442,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,2,0.1452,0.243,28.271,25.3386,30.2155,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,3,0.1307,0.2143,29.2723,24.8797,30.1474,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,4,0.1257,0.2042,28.5538,26.0523,30.4594,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,5,0.173,0.2304,41.0976,35.2486,39.5161,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,6,0.3101,0.4059,45.186,36.4101,37.4596,207
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,7,0.5252,0.651,45.8028,36.058,29.6862,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,8,0.3864,0.5037,32.4659,26.5293,23.5031,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,9,0.3539,0.4656,31.4168,25.3956,22.8624,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,10,0.3676,0.4926,29.6915,26.31,24.3642,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,11,0.4152,0.6201,38.7205,30.4235,27.6433,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,12,0.4256,0.6209,43.7286,32.022,29.4336,208
hourly,validation,lstm_seq48_h32_l2_d0p0_lr0p0005_bs64,13,0.4232,0.5731,49.2328,36.6314,31.3748,208
