epoch,train_loss,validation_loss
1,0.474903,0.413142
2,0.409742,0.386438
3,0.389808,0.361171
4,0.374075,0.354258
5,0.367144,0.357582
6,0.362996,0.346995
7,0.35798,0.3501
8,0.354988,0.347381
9,0.353348,0.347426
10,0.349668,0.356189
11,0.347211,0.350132
12,0.344996,0.342625
13,0.342449,0.343682
14,0.341335,0.344783
15,0.339695,0.347332
16,0.337169,0.352795
17,0.335276,0.349909
18,0.33429,0.349789
19,0.332025,0.345372
20,0.329913,0.342788
21,0.328277,0.355829
22,0.326292,0.352151
