Report_Type,Dataset,Model,Hour,WAPE,MAE,RMSE,MAPE,sMAPE,Broj_redova
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,20,27.7154,0.6311,0.7777,41.6155,31.1615,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,21,24.251,0.4971,0.6379,34.4451,27.4855,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,22,30.0159,0.4538,0.5701,39.8995,33.6796,209
hourly,validation,gru_seq24_h64_l2_d0.2_lr0.001_bs64,23,40.2533,0.3588,0.486,48.6423,39.2578,209
summary,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,,35.5585,0.3411,0.4856,46.3892,36.6904,5025
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,0,37.2175,0.2455,0.4079,34.8848,33.446,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,1,34.0346,0.1934,0.3263,27.4554,30.143,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,2,31.7012,0.1672,0.2722,27.4795,28.2807,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,3,32.5865,0.1516,0.2431,31.1676,28.6814,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,4,37.1511,0.172,0.2584,35.7735,32.8781,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,5,38.9001,0.1749,0.2584,40.5095,34.0689,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,6,37.4775,0.2444,0.3043,48.5436,37.6215,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,7,34.9514,0.4602,0.5581,59.9494,41.9933,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,8,28.6141,0.3592,0.4501,45.5235,33.1132,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,9,30.0646,0.3605,0.4819,47.7059,34.5811,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,10,35.3447,0.4028,0.5355,56.4506,39.69,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,11,33.3675,0.3801,0.5287,51.0319,37.6517,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,12,37.5248,0.4161,0.5841,51.3057,39.1208,209
hourly,test,gru_seq24_h64_l2_d0.2_lr0.001_bs64,13,34.1502,0.3579,0.4665,44.9618,36.653,209
