Feature,Importance
lag_1h,0.758211
hour,0.099021
lag_168h,0.049915
lag_24h,0.035872
rolling_std_7d,0.01962
rolling_mean_24h,0.016929
day_of_week,0.007714
is_weekend,0.005098
month,0.004068
is_night,0.00274
is_holiday,0.000811
