Feature,Importance
lag_1h,0.760215
hour,0.096787
lag_168h,0.049456
lag_24h,0.036474
rolling_std_7d,0.019895
rolling_mean_24h,0.015785
day_of_week,0.007155
is_weekend,0.004855
month,0.004459
is_night,0.004191
is_holiday,0.000727
