Feature,Importance
lag_1h,0.794505
hour,0.083471
lag_168h,0.059581
lag_24h,0.046939
rolling_std_7d,0.00648
rolling_mean_24h,0.004941
month,0.001424
day_of_week,0.001073
is_weekend,0.001073
is_night,0.000514
is_holiday,0.0
