Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gradient_boosting_n200_lr0p1_depth2,,0.3859,0.5516,42.2175,33.4049,30.9013,5072
hourly,validation,gradient_boosting_n200_lr0p1_depth2,0,0.2203,0.3112,41.5039,33.124,34.9461,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,1,0.1707,0.2696,33.0222,28.4065,32.2479,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,2,0.1559,0.2424,31.6322,28.0569,32.4472,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,3,0.1304,0.2068,29.5036,25.5617,30.1978,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,4,0.134,0.1973,32.3044,28.4138,32.5989,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,5,0.1561,0.2192,35.2242,31.9286,35.6484,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,6,0.3439,0.4123,54.3998,43.1822,41.528,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,7,0.6357,0.7311,59.8665,45.0631,35.8799,212
hourly,validation,gradient_boosting_n200_lr0p1_depth2,8,0.3943,0.5117,31.1842,27.1944,23.9035,212
hourly,validation,gradient_boosting_n200_lr0p1_depth2,9,0.3248,0.44,28.5712,23.5498,20.9194,212
hourly,validation,gradient_boosting_n200_lr0p1_depth2,10,0.3388,0.474,27.6613,24.0745,22.4233,212
hourly,validation,gradient_boosting_n200_lr0p1_depth2,11,0.4153,0.6347,40.9997,30.397,27.5191,212
hourly,validation,gradient_boosting_n200_lr0p1_depth2,12,0.4413,0.6397,44.3373,33.5581,30.2635,212
hourly,validation,gradient_boosting_n200_lr0p1_depth2,13,0.4224,0.5627,50.9273,36.8378,31.1264,212
hourly,validation,gradient_boosting_n200_lr0p1_depth2,14,0.452,0.6339,55.5642,39.3446,36.0465,212
hourly,validation,gradient_boosting_n200_lr0p1_depth2,15,0.4472,0.6473,53.9359,40.0047,37.6212,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,16,0.4095,0.5649,47.7652,37.9557,34.99,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,17,0.4827,0.7014,46.6012,37.7255,36.3401,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,18,0.5217,0.7043,45.5897,35.3012,31.9455,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,19,0.6459,0.7877,40.0768,34.4656,31.0536,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,20,0.6486,0.8201,40.6347,32.1976,28.3157,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,21,0.5212,0.6528,38.9863,28.6885,25.2932,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,22,0.4661,0.5785,44.52,34.1137,30.9007,211
hourly,validation,gradient_boosting_n200_lr0p1_depth2,23,0.3811,0.4975,58.4018,42.6068,42.8695,211
summary,test,gradient_boosting_n200_lr0p1_depth2,,0.3375,0.479,45.9012,36.7242,35.2219,5073
hourly,test,gradient_boosting_n200_lr0p1_depth2,0,0.2429,0.379,36.9094,34.2388,36.8451,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,1,0.1893,0.3145,29.8552,29.8613,33.3475,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,2,0.1804,0.2707,31.8545,31.6895,34.1505,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,3,0.1379,0.2274,27.3885,26.1217,29.5274,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,4,0.1569,0.2436,32.0583,30.1378,33.8563,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,5,0.1527,0.2613,31.1473,28.7144,34.0265,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,6,0.2734,0.334,58.2987,42.032,41.9798,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,7,0.527,0.6192,67.808,47.658,39.8563,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,8,0.3408,0.4482,37.1448,31.0822,27.0971,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,9,0.329,0.462,38.2449,31.1654,27.4606,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,10,0.3658,0.5101,45.7116,35.4442,32.1636,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,11,0.3735,0.5229,45.8587,36.3021,32.8568,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,12,0.3903,0.561,45.1336,36.4166,35.3296,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,13,0.3523,0.4602,45.8822,37.1265,33.8307,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,14,0.371,0.508,53.5187,40.019,37.7625,211
hourly,test,gradient_boosting_n200_lr0p1_depth2,15,0.3542,0.48,48.7144,39.8447,39.0297,212
hourly,test,gradient_boosting_n200_lr0p1_depth2,16,0.3192,0.4299,50.8859,39.2351,38.888,212
hourly,test,gradient_boosting_n200_lr0p1_depth2,17,0.3529,0.4934,50.9067,40.183,39.9297,212
hourly,test,gradient_boosting_n200_lr0p1_depth2,18,0.4665,0.6548,62.6204,45.3072,43.5482,212
hourly,test,gradient_boosting_n200_lr0p1_depth2,19,0.4662,0.6032,65.7233,42.4162,36.0049,212
hourly,test,gradient_boosting_n200_lr0p1_depth2,20,0.4845,0.6002,53.4529,38.5971,32.9351,212
hourly,test,gradient_boosting_n200_lr0p1_depth2,21,0.5044,0.6462,51.4136,37.8663,33.2595,212
hourly,test,gradient_boosting_n200_lr0p1_depth2,22,0.4076,0.5452,42.2687,35.2201,33.7309,212
hourly,test,gradient_boosting_n200_lr0p1_depth2,23,0.3578,0.5044,48.5361,44.5475,42.139,212
