Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gradient_boosting_n200_lr0p05_depth3,,0.3836,0.5497,41.8899,33.1426,30.7164,5072
hourly,validation,gradient_boosting_n200_lr0p05_depth3,0,0.2105,0.3042,39.452,31.7826,33.3865,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,1,0.1627,0.2665,30.7728,26.7179,30.7305,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,2,0.1492,0.2408,29.3211,26.5732,31.0463,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,3,0.1286,0.2074,29.3507,25.1961,29.7896,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,4,0.1315,0.1949,31.7568,28.1151,31.9727,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,5,0.1544,0.2168,34.5422,31.6866,35.2402,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,6,0.3409,0.4079,55.247,42.8356,41.174,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,7,0.6277,0.727,56.514,44.2807,35.4298,212
hourly,validation,gradient_boosting_n200_lr0p05_depth3,8,0.3943,0.5028,32.3755,27.269,23.9008,212
hourly,validation,gradient_boosting_n200_lr0p05_depth3,9,0.3233,0.4361,29.2481,23.5015,20.8211,212
hourly,validation,gradient_boosting_n200_lr0p05_depth3,10,0.3372,0.4728,27.4475,23.9987,22.314,212
hourly,validation,gradient_boosting_n200_lr0p05_depth3,11,0.4155,0.6339,41.0853,30.4956,27.5308,212
hourly,validation,gradient_boosting_n200_lr0p05_depth3,12,0.4423,0.6392,44.8239,33.7666,30.3274,212
hourly,validation,gradient_boosting_n200_lr0p05_depth3,13,0.4186,0.5595,51.1487,36.5516,30.8446,212
hourly,validation,gradient_boosting_n200_lr0p05_depth3,14,0.4506,0.6306,55.8128,39.4452,35.936,212
hourly,validation,gradient_boosting_n200_lr0p05_depth3,15,0.4419,0.6439,53.0116,39.5719,37.1749,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,16,0.4094,0.5672,47.7452,38.2569,34.987,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,17,0.4791,0.6998,45.9163,37.2576,36.0717,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,18,0.5156,0.6973,45.609,34.8447,31.571,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,19,0.6397,0.7838,39.276,34.1526,30.7556,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,20,0.6525,0.8228,40.5732,32.1817,28.4824,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,21,0.5191,0.6544,38.4523,28.4581,25.1883,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,22,0.4764,0.5916,46.6162,34.8345,31.5844,211
hourly,validation,gradient_boosting_n200_lr0p05_depth3,23,0.3838,0.486,59.2437,43.6754,43.1806,211
summary,test,gradient_boosting_n200_lr0p05_depth3,,0.3326,0.4742,45.0096,35.8684,34.7079,5073
hourly,test,gradient_boosting_n200_lr0p05_depth3,0,0.2351,0.3768,35.3716,32.2149,35.6615,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,1,0.1828,0.3106,28.2731,28.0906,32.1941,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,2,0.1737,0.2619,30.6003,30.2493,32.8876,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,3,0.1349,0.2214,27.6398,25.5865,28.888,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,4,0.158,0.2392,33.1795,30.5116,34.0792,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,5,0.1569,0.2557,33.5462,30.118,34.968,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,6,0.271,0.3331,57.5082,41.3635,41.6075,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,7,0.505,0.6025,62.0962,45.5008,38.1955,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,8,0.3437,0.4403,40.5431,32.1976,27.3276,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,9,0.3317,0.4621,39.5472,31.1898,27.6827,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,10,0.3663,0.5113,46.3735,35.4132,32.21,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,11,0.3715,0.5195,45.9762,35.7785,32.6755,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,12,0.3926,0.5578,46.1711,36.9739,35.5357,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,13,0.3512,0.4577,45.8822,36.8047,33.7168,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,14,0.3736,0.5121,54.5231,40.2535,38.0249,211
hourly,test,gradient_boosting_n200_lr0p05_depth3,15,0.3501,0.4774,48.3742,39.2302,38.5809,212
hourly,test,gradient_boosting_n200_lr0p05_depth3,16,0.3164,0.4271,50.6162,38.8692,38.546,212
hourly,test,gradient_boosting_n200_lr0p05_depth3,17,0.3479,0.4903,49.8501,39.6302,39.3618,212
hourly,test,gradient_boosting_n200_lr0p05_depth3,18,0.4454,0.6466,55.8115,42.2655,41.5725,212
hourly,test,gradient_boosting_n200_lr0p05_depth3,19,0.445,0.5889,57.4359,39.7146,34.3693,212
hourly,test,gradient_boosting_n200_lr0p05_depth3,20,0.4696,0.5932,48.2226,36.434,31.9207,212
hourly,test,gradient_boosting_n200_lr0p05_depth3,21,0.4963,0.6415,49.5294,36.82,32.7239,212
hourly,test,gradient_boosting_n200_lr0p05_depth3,22,0.4064,0.5335,44.4291,34.4317,33.6276,212
hourly,test,gradient_boosting_n200_lr0p05_depth3,23,0.3538,0.505,48.504,41.0789,41.6608,212
