Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,,0.3749,0.5432,38.0585,31.9588,30.0704,4976
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,0,0.2315,0.3346,38.7068,33.291,36.4575,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,1,0.1687,0.2762,30.5833,27.8555,31.8122,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,2,0.1471,0.2431,28.7488,25.9961,30.6152,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,3,0.1325,0.2124,29.5985,25.7162,30.5512,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,4,0.1251,0.2062,27.5713,25.9839,30.3112,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,5,0.1515,0.2124,33.8656,31.3629,34.6238,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,6,0.306,0.4,42.6731,36.5163,36.9615,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,7,0.5011,0.6376,44.3995,34.5514,28.3212,208
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,8,0.3803,0.5043,32.6873,26.2169,23.1281,208
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,9,0.335,0.4457,30.9658,23.887,21.6428,208
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,10,0.3601,0.4942,29.8165,25.2081,23.8648,208
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,11,0.4149,0.6201,38.4582,29.9743,27.6237,208
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,12,0.4256,0.6161,41.1175,31.8912,29.4327,208
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,13,0.4336,0.5741,45.9794,36.7865,32.1455,208
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,14,0.419,0.5997,46.4943,36.1256,33.5874,208
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,15,0.4437,0.6472,47.4359,38.863,37.52,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,16,0.3872,0.5662,40.6639,35.4387,33.058,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,17,0.4786,0.6901,43.7728,37.3349,35.7741,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,18,0.5348,0.7137,44.2808,36.2527,32.5128,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,19,0.6298,0.7818,36.7337,32.9473,30.2552,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,20,0.6142,0.7653,37.088,30.5104,27.0055,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,21,0.5179,0.6648,32.5301,28.284,25.3216,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,22,0.5052,0.627,41.9317,37.2682,33.4197,207
hourly,validation,gru_seq48_h32_l2_d0p0_lr0p001_bs64,23,0.3537,0.4752,47.2756,38.802,39.6204,207
summary,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,,0.3325,0.4831,42.571,35.3185,34.5633,4977
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,0,0.2405,0.4044,34.7922,32.6474,36.3405,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,1,0.2057,0.3403,30.0284,31.7973,36.1445,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,2,0.1682,0.2768,27.3466,28.7048,31.8589,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,3,0.1405,0.2492,25.8039,25.8447,30.1474,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,4,0.1599,0.2621,30.1131,30.5866,34.539,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,5,0.1548,0.2547,32.0309,29.8752,34.5035,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,6,0.2225,0.2886,40.2576,33.6459,34.228,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,7,0.4445,0.5668,52.5674,39.1783,33.8862,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,8,0.3141,0.4156,38.9676,28.8202,25.0756,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,9,0.3506,0.478,46.0814,32.7358,29.2096,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,10,0.3949,0.5336,53.1972,37.97,34.5863,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,11,0.3861,0.5311,48.3821,37.4917,33.7768,207
hourly,test,gru_seq48_h32_l2_d0p0_lr0p001_bs64,12,0.4158,0.5844,46.9902,38.9439,37.278,207
