epoch,train_loss,validation_loss
1,0.461105,0.404529
2,0.394534,0.360186
3,0.377257,0.356436
4,0.368821,0.355652
5,0.362628,0.35405
6,0.356814,0.35171
7,0.352262,0.345383
8,0.348885,0.350578
9,0.34511,0.359709
10,0.341034,0.351479
11,0.338582,0.345018
12,0.33428,0.347236
13,0.328567,0.346432
14,0.325515,0.344125
15,0.32074,0.355831
16,0.315255,0.356363
17,0.309717,0.354257
18,0.304444,0.358877
19,0.298732,0.37183
20,0.293439,0.362387
21,0.28579,0.374444
22,0.279755,0.368711
23,0.270481,0.381057
24,0.262385,0.38175
