epoch,train_loss,validation_loss
1,0.565193,0.426463
2,0.422118,0.40644
3,0.408861,0.393188
4,0.396828,0.38091
5,0.38786,0.367047
6,0.380238,0.360056
7,0.372275,0.356386
8,0.367722,0.349935
9,0.363513,0.352969
10,0.361109,0.347165
11,0.356937,0.349254
12,0.354899,0.345147
13,0.352628,0.343647
14,0.351586,0.348021
15,0.348281,0.357459
16,0.347434,0.350166
17,0.346405,0.34899
18,0.344186,0.342528
19,0.343394,0.346566
20,0.340958,0.350094
21,0.34041,0.345948
22,0.338383,0.344821
23,0.33717,0.344847
24,0.335244,0.347219
25,0.334107,0.353402
26,0.332475,0.344057
27,0.331657,0.346088
28,0.329465,0.343178
