epoch,train_loss,validation_loss
1,0.526713,0.428199
2,0.423527,0.411011
3,0.41117,0.399739
4,0.399894,0.386108
5,0.388524,0.369866
6,0.378101,0.361068
7,0.370592,0.350921
8,0.366341,0.3504
9,0.36232,0.353177
10,0.359566,0.346081
11,0.357933,0.345991
12,0.356051,0.346807
13,0.354856,0.348557
14,0.353187,0.34541
15,0.351482,0.341839
16,0.350398,0.344849
17,0.349261,0.350098
18,0.347811,0.343425
19,0.346652,0.341937
20,0.345099,0.346344
21,0.344481,0.343888
22,0.343944,0.342593
23,0.342995,0.344624
24,0.341693,0.341185
25,0.340986,0.344153
26,0.339914,0.34289
27,0.339973,0.34297
28,0.338169,0.345894
29,0.337051,0.342215
30,0.336248,0.341586
31,0.335125,0.34731
32,0.334543,0.347257
33,0.333464,0.343435
34,0.332478,0.34374
