epoch,train_loss,validation_loss
1,0.523276,0.426437
2,0.422719,0.409178
3,0.410637,0.395441
4,0.400402,0.384836
5,0.390787,0.373804
6,0.380517,0.36148
7,0.37152,0.353689
8,0.366289,0.351608
9,0.363485,0.346798
10,0.359803,0.355175
11,0.357851,0.347818
12,0.356019,0.342784
13,0.353817,0.343908
14,0.352768,0.341439
15,0.350723,0.34522
16,0.349226,0.347895
17,0.347778,0.344136
18,0.346794,0.343153
19,0.345038,0.340857
20,0.343715,0.339292
21,0.342575,0.346889
22,0.341375,0.344967
23,0.340212,0.345146
24,0.34002,0.342598
25,0.338025,0.343625
26,0.337121,0.345429
27,0.336551,0.348724
28,0.334897,0.349468
29,0.334057,0.34766
30,0.333683,0.34841
