epoch,train_loss,validation_loss
1,0.512143,0.411959
2,0.423947,0.392274
3,0.407829,0.381498
4,0.391128,0.355593
5,0.380614,0.351445
6,0.372349,0.356255
7,0.367267,0.343396
8,0.363251,0.340169
9,0.358978,0.344572
10,0.356988,0.34767
11,0.356383,0.344899
12,0.351739,0.345414
13,0.348426,0.347529
14,0.348537,0.349244
15,0.345685,0.340036
16,0.342716,0.358816
17,0.341556,0.346744
18,0.338603,0.346958
19,0.33897,0.354718
20,0.335888,0.348696
21,0.333843,0.346766
22,0.330093,0.355116
23,0.329891,0.355589
24,0.328642,0.354188
25,0.324643,0.357967
