epoch,train_loss,validation_loss
1,0.48188,0.420313
2,0.40488,0.365174
3,0.377503,0.352374
4,0.367425,0.353756
5,0.362755,0.346711
6,0.358648,0.349311
7,0.354829,0.353832
8,0.352674,0.348058
9,0.348547,0.346341
10,0.345216,0.35104
11,0.343834,0.363043
12,0.340851,0.348522
13,0.337535,0.346248
14,0.335003,0.345137
15,0.332344,0.343804
16,0.329261,0.356164
17,0.326464,0.344508
18,0.3236,0.349062
19,0.322253,0.349358
20,0.317997,0.352467
21,0.314216,0.351299
22,0.311292,0.356037
23,0.309368,0.350097
24,0.304074,0.366726
25,0.302019,0.35912
