Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,,0.3742,0.5414,37.9752,31.7378,29.9314,5048
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,0,0.2184,0.3246,35.3339,31.2201,34.5324,209
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,1,0.1791,0.3052,29.0603,28.0789,33.6961,209
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,2,0.147,0.246,26.8892,25.7865,30.6712,209
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,3,0.1289,0.2144,26.9266,24.5706,29.7634,209
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,4,0.1198,0.2023,25.4343,24.7259,29.0762,209
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,5,0.1717,0.2301,39.3511,34.9694,39.121,209
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,6,0.3098,0.3994,45.3995,36.447,37.544,209
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,7,0.5201,0.6337,48.8351,36.222,29.3759,210
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,8,0.3762,0.4994,32.1906,26.2469,22.8152,210
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,9,0.3399,0.4528,29.1391,24.4868,21.9099,210
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,10,0.3435,0.4851,27.4313,24.4463,22.7256,210
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,11,0.4412,0.6445,39.1819,31.9093,29.2221,210
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,12,0.4352,0.6277,40.6729,32.6607,29.8389,212
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,13,0.4203,0.5643,42.3775,35.5456,30.9719,212
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,14,0.4308,0.6112,44.672,36.2801,34.3579,212
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,15,0.4376,0.644,44.6011,37.2732,36.8173,211
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,16,0.3896,0.5676,38.5682,34.4247,33.2904,211
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,17,0.4598,0.6805,41.386,35.6659,34.6168,211
hourly,validation,gru_seq12_h64_l2_d0p3_lr0p0005_bs64,18,0.5435,0.7169,46.4242,36.6512,33.2788,211
