epoch,train_loss,validation_loss
1,0.489849,0.405213
2,0.412818,0.367766
3,0.390967,0.352406
4,0.37995,0.357185
5,0.370446,0.352818
6,0.36586,0.352111
7,0.360125,0.365568
8,0.357613,0.350109
9,0.354111,0.357748
10,0.353928,0.347464
11,0.347979,0.356575
12,0.345544,0.346359
13,0.343378,0.352104
14,0.338543,0.359806
15,0.336585,0.346707
16,0.334782,0.354032
17,0.33154,0.34264
18,0.328967,0.366174
19,0.324509,0.355988
20,0.322121,0.352652
21,0.318927,0.36119
22,0.317309,0.373558
23,0.31088,0.372562
24,0.306763,0.359257
25,0.304057,0.362084
26,0.302744,0.370517
27,0.297999,0.369087
