Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,,0.3749,0.5448,37.5418,31.8043,30.0364,5024
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,0,0.2209,0.3429,31.2495,31.4692,34.9305,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,1,0.1742,0.3006,26.7066,28.0972,32.7658,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,2,0.1397,0.2378,25.1668,24.7933,29.14,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,3,0.1263,0.2128,26.9256,23.923,29.1712,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,4,0.1212,0.2034,26.528,24.9058,29.4173,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,5,0.1614,0.2291,35.4256,32.7222,36.7776,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,6,0.2894,0.376,40.1413,34.2406,35.0686,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,7,0.5216,0.6648,43.9501,35.2947,29.4595,210
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,8,0.3771,0.5003,31.7569,26.1047,22.8698,210
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,9,0.3461,0.4622,30.632,24.931,22.315,210
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,10,0.3752,0.5013,29.6786,27.1053,24.819,210
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,11,0.4433,0.6403,37.897,32.1288,29.3582,210
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,12,0.428,0.6205,40.6419,31.8911,29.3805,210
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,13,0.4232,0.5649,45.5095,35.6253,31.2239,210
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,14,0.434,0.6125,50.3616,37.6681,34.6897,210
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,15,0.4476,0.6499,50.1049,39.5866,37.6001,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,16,0.3977,0.5607,42.2457,36.0995,34.0346,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,17,0.4742,0.6996,42.0279,36.6904,35.6429,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,18,0.5474,0.7321,47.0374,36.8546,33.4307,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,19,0.6271,0.7642,40.8773,33.0608,30.1482,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,20,0.6106,0.7631,41.0664,30.3681,26.8176,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,21,0.4879,0.6372,33.6336,27.1788,23.8039,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,22,0.4733,0.6043,38.7402,34.7128,31.305,209
hourly,validation,gru_seq24_h128_l2_d0p3_lr0p001_bs64,23,0.3482,0.4815,42.6505,37.8691,39.0574,209
summary,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,,0.3323,0.4868,41.3692,35.1311,34.6432,5025
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,0,0.2419,0.4077,32.3238,32.865,36.6686,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,1,0.2001,0.3397,27.8101,31.801,35.2188,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,2,0.1787,0.2947,28.1403,31.4581,33.8823,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,3,0.1414,0.2516,25.6979,26.2657,30.4005,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,4,0.1564,0.2565,30.0084,30.1973,33.7928,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,5,0.1527,0.2569,31.3846,29.0235,33.9525,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,6,0.218,0.2872,37.7652,33.1241,33.4284,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,7,0.4571,0.594,49.9485,39.3388,34.7132,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,8,0.3036,0.408,34.7112,27.1494,24.1844,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,9,0.35,0.4813,41.0174,32.9364,29.1881,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,10,0.392,0.5399,45.7062,37.1082,34.4039,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,11,0.3945,0.5453,43.4916,37.5335,34.6252,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,12,0.4124,0.5825,44.3261,38.7803,37.1961,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,13,0.3486,0.4647,40.8836,35.7887,33.2712,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,14,0.3739,0.5126,49.3084,39.8074,37.9712,209
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,15,0.3288,0.4694,43.1712,36.2754,36.2619,210
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,16,0.3193,0.4292,48.9616,38.8054,38.9304,210
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,17,0.3527,0.5035,46.3801,39.5669,39.9094,210
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,18,0.4354,0.6397,50.6177,40.8638,40.6586,210
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,19,0.4718,0.6274,56.633,39.4134,36.2785,210
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,20,0.4737,0.6275,53.1346,35.3681,32.1342,210
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,21,0.5183,0.6679,50.2321,37.4933,34.0871,210
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,22,0.4142,0.5524,41.0645,34.6371,34.1969,210
hourly,test,gru_seq24_h128_l2_d0p3_lr0p001_bs64,23,0.3367,0.5241,39.8665,37.4331,39.5855,210
