epoch,train_loss,validation_loss
1,0.473639,0.398722
2,0.398797,0.381328
3,0.379977,0.350461
4,0.368454,0.356517
5,0.362823,0.354697
6,0.358324,0.371264
7,0.357114,0.353611
8,0.352237,0.346668
9,0.348615,0.347931
10,0.34629,0.353325
11,0.343282,0.350543
12,0.341494,0.355691
13,0.336335,0.344441
14,0.334182,0.346422
15,0.329057,0.347155
16,0.325999,0.353968
17,0.321216,0.351975
18,0.317052,0.356482
19,0.312497,0.360133
20,0.306051,0.359933
21,0.300702,0.360079
22,0.292286,0.370035
23,0.286612,0.364983
