epoch,train_loss,validation_loss
1,0.500705,0.409414
2,0.407232,0.387249
3,0.390959,0.371284
4,0.378277,0.363787
5,0.370564,0.350287
6,0.365116,0.352019
7,0.358777,0.351595
8,0.354739,0.351288
9,0.350933,0.355775
10,0.349586,0.347252
11,0.344827,0.348136
12,0.342524,0.347239
13,0.340409,0.3457
14,0.339226,0.345331
15,0.334136,0.363998
16,0.333464,0.35634
17,0.331026,0.355025
18,0.327609,0.347384
19,0.325733,0.35345
20,0.322645,0.355531
21,0.320936,0.356639
22,0.31829,0.356449
23,0.314931,0.359671
24,0.311416,0.361447
