epoch,train_loss,validation_loss
1,0.559085,0.431241
2,0.421364,0.407045
3,0.406145,0.387996
4,0.39472,0.374702
5,0.383875,0.370605
6,0.377772,0.358445
7,0.372125,0.362
8,0.367011,0.358012
9,0.362621,0.351982
10,0.359392,0.354633
11,0.356659,0.352056
12,0.354562,0.349717
13,0.352256,0.34943
14,0.350458,0.349195
15,0.34935,0.346923
16,0.346731,0.34726
17,0.34621,0.35141
18,0.343869,0.352621
19,0.343722,0.348364
20,0.342101,0.350144
21,0.341229,0.356508
22,0.33977,0.355775
23,0.338373,0.346711
24,0.336947,0.347253
25,0.335298,0.351085
26,0.334222,0.34942
27,0.332967,0.351093
28,0.332121,0.351397
29,0.330642,0.348949
30,0.330182,0.347392
31,0.328585,0.360283
32,0.327512,0.355721
33,0.326096,0.351505
