epoch,train_loss,validation_loss
1,0.593311,0.429575
2,0.450676,0.412806
3,0.432953,0.402115
4,0.423765,0.391267
5,0.411554,0.378241
6,0.402182,0.371328
7,0.395297,0.363709
8,0.387347,0.35357
9,0.383128,0.357329
10,0.380835,0.347072
11,0.374779,0.351808
12,0.37496,0.344107
13,0.372038,0.345733
14,0.370938,0.353359
15,0.366357,0.353858
16,0.364624,0.348279
17,0.36468,0.348122
18,0.361264,0.343559
19,0.361162,0.346654
20,0.35767,0.349856
21,0.358208,0.346216
22,0.35477,0.343957
23,0.354079,0.346965
24,0.352611,0.347781
25,0.351126,0.356937
26,0.35097,0.344774
27,0.350355,0.348962
28,0.348088,0.343872
