epoch,train_loss,validation_loss
1,0.496045,0.409635
2,0.406204,0.379446
3,0.387819,0.361385
4,0.376691,0.360143
5,0.367428,0.363318
6,0.364101,0.350516
7,0.359358,0.357333
8,0.354954,0.356321
9,0.351098,0.353259
10,0.348559,0.353999
11,0.345862,0.350608
12,0.343197,0.350921
13,0.340556,0.34849
14,0.337987,0.348914
15,0.336714,0.346573
16,0.333122,0.348012
17,0.332362,0.354863
18,0.328615,0.35441
19,0.328414,0.351407
20,0.325121,0.352755
21,0.322836,0.368455
22,0.320911,0.360417
23,0.318123,0.354371
24,0.315044,0.354306
25,0.31291,0.358246
