epoch,train_loss,validation_loss
1,0.588631,0.429152
2,0.447717,0.410077
3,0.433701,0.398204
4,0.419685,0.389511
5,0.410249,0.379784
6,0.399818,0.374776
7,0.391723,0.363925
8,0.388013,0.360875
9,0.382708,0.356273
10,0.376965,0.352024
11,0.375473,0.34256
12,0.369264,0.343991
13,0.36872,0.354869
14,0.367475,0.344037
15,0.365951,0.341546
16,0.363835,0.341574
17,0.362203,0.344852
18,0.359552,0.349878
19,0.358612,0.351309
20,0.357284,0.351311
21,0.354924,0.348083
22,0.353521,0.340926
23,0.352144,0.35168
24,0.350184,0.354666
25,0.348347,0.340796
26,0.349511,0.362036
27,0.348205,0.345758
28,0.345871,0.343215
29,0.345732,0.34563
30,0.345287,0.363033
31,0.343919,0.362217
32,0.341249,0.350472
33,0.340783,0.35416
34,0.339181,0.344179
35,0.338955,0.355856
