epoch,train_loss,validation_loss
1,0.475634,0.401178
2,0.395594,0.357095
3,0.374659,0.353963
4,0.36445,0.349555
5,0.359642,0.346926
6,0.354622,0.34522
7,0.35144,0.348664
8,0.347711,0.349261
9,0.345208,0.349326
10,0.341362,0.348629
11,0.338254,0.347205
12,0.333403,0.354681
13,0.33156,0.344844
14,0.327471,0.349304
15,0.324936,0.359216
16,0.321734,0.351238
17,0.318222,0.359222
18,0.314345,0.361263
19,0.313183,0.371408
20,0.30999,0.367924
21,0.305287,0.366123
22,0.301409,0.369087
23,0.297482,0.371529
