epoch,train_loss,validation_loss
1,0.578678,0.433754
2,0.440671,0.412243
3,0.425243,0.397673
4,0.41336,0.381882
5,0.400292,0.375585
6,0.394642,0.362409
7,0.386657,0.363507
8,0.379274,0.356084
9,0.373603,0.350331
10,0.369268,0.351354
11,0.367321,0.352033
12,0.365137,0.346586
13,0.363064,0.347794
14,0.362432,0.348539
15,0.360138,0.34683
16,0.357655,0.346439
17,0.358438,0.347253
18,0.355968,0.353814
19,0.3562,0.345816
20,0.353533,0.347112
21,0.352765,0.354357
22,0.352136,0.355513
23,0.349229,0.344888
24,0.347429,0.349059
25,0.3479,0.351107
26,0.346381,0.346614
27,0.346507,0.349712
28,0.345115,0.349572
29,0.344679,0.349762
30,0.343995,0.346237
31,0.341972,0.354884
32,0.340923,0.356328
33,0.340769,0.348361
