Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,,0.3779,0.5406,39.6282,32.3997,30.2757,5024
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,0,0.2245,0.3363,34.4759,33.3486,35.4998,209
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,1,0.1753,0.3039,27.9481,27.3679,32.986,209
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,2,0.1459,0.239,27.9583,25.7941,30.4474,209
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,3,0.1412,0.2127,32.0353,27.5662,32.6124,209
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,4,0.1336,0.2083,30.6904,27.6484,32.4211,209
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,5,0.176,0.2278,41.8908,36.0993,40.1045,209
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,6,0.3143,0.3984,46.0861,38.3985,38.0931,209
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,7,0.5186,0.6323,48.7963,36.6832,29.29,210
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,8,0.4118,0.5125,35.8278,27.6684,24.9767,210
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,9,0.3498,0.4688,33.1231,24.5918,22.5525,210
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,10,0.3497,0.4775,31.142,24.4607,23.1342,210
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,11,0.419,0.6244,41.2659,30.1643,27.7498,210
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,12,0.4312,0.6143,44.25,32.5879,29.6012,210
hourly,validation,gru_seq24_h64_l2_d0p3_lr0p001_bs64,13,0.4221,0.569,45.7868,35.8806,31.1459,210
