epoch,train_loss,validation_loss
1,0.507521,0.410455
2,0.412349,0.386388
3,0.393988,0.364459
4,0.378699,0.353946
5,0.370776,0.34496
6,0.364135,0.344433
7,0.360306,0.350431
8,0.35664,0.347189
9,0.354823,0.352226
10,0.353404,0.343272
11,0.349637,0.346851
12,0.347053,0.343398
13,0.34503,0.34672
14,0.342815,0.349927
15,0.340822,0.346262
16,0.339102,0.343534
17,0.336137,0.340819
18,0.333812,0.347024
19,0.330857,0.346922
20,0.329149,0.346262
21,0.327099,0.358054
22,0.324391,0.363039
23,0.320995,0.360818
24,0.317228,0.348364
25,0.315647,0.351294
26,0.312029,0.359754
27,0.309879,0.354461
