epoch,train_loss,validation_loss
1,0.515096,0.416215
2,0.42471,0.388092
3,0.40471,0.366672
4,0.391253,0.357225
5,0.378385,0.355375
6,0.375558,0.350572
7,0.370628,0.353938
8,0.365141,0.354086
9,0.361612,0.350292
10,0.358216,0.353897
11,0.356162,0.353295
12,0.354203,0.346808
13,0.351977,0.347429
14,0.349645,0.348679
15,0.348089,0.346411
16,0.344681,0.347985
17,0.345485,0.351857
18,0.342361,0.356362
19,0.342522,0.352127
20,0.339524,0.351072
21,0.338148,0.368803
22,0.336143,0.360963
23,0.333805,0.352711
24,0.330379,0.353854
25,0.330653,0.35672
