Report_Type,Dataset,Model,Hour,MAE,RMSE,MAPE,sMAPE,WAPE,Broj_redova
summary,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,,0.38,0.5462,40.6906,33.3878,30.3941,5048
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,0,0.2218,0.3303,40.884,32.2554,35.0811,209
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,1,0.1728,0.2887,30.7712,28.5678,32.5007,209
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,2,0.163,0.2598,31.3276,30.9474,34.003,209
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,3,0.1587,0.2385,34.9054,35.4147,36.6563,209
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,4,0.1613,0.2443,35.3975,40.7636,39.1661,209
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,5,0.1557,0.2536,28.825,33.9463,35.4599,209
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,6,0.3055,0.4082,37.9412,37.1475,37.0243,209
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,7,0.5381,0.6784,43.221,36.1066,30.3929,210
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,8,0.3909,0.5083,33.0926,26.453,23.7101,210
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,9,0.3355,0.4474,31.753,23.9962,21.6307,210
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,10,0.3541,0.4823,31.5319,24.9576,23.4227,210
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,11,0.4117,0.6219,41.5532,29.6991,27.2687,210
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,12,0.4281,0.6119,45.0639,32.4492,29.3581,212
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,13,0.4166,0.5718,47.9796,35.5489,30.6945,212
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,14,0.4473,0.6292,52.8887,38.1717,35.6723,212
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,15,0.4391,0.6417,51.4704,38.37,36.9399,211
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,16,0.3886,0.5562,43.0119,35.165,33.2024,211
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,17,0.467,0.6758,45.0751,36.9799,35.1595,211
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,18,0.5477,0.7199,50.2187,37.116,33.5396,211
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,19,0.6196,0.7593,39.9755,32.5189,29.7865,211
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,20,0.6157,0.7766,37.7223,30.2035,26.8758,211
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,21,0.5071,0.6529,33.5673,27.3122,24.6078,211
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,22,0.4618,0.5799,43.8378,33.6885,30.6131,211
hourly,validation,gru_seq12_h128_l2_d0p0_lr0p001_bs64,23,0.399,0.514,63.9169,43.428,44.8885,211
summary,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,,0.3423,0.4897,45.7043,37.5367,35.6987,5049
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,0,0.2417,0.3838,37.8047,32.8582,36.6414,209
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,1,0.1953,0.316,30.5141,31.7907,34.3762,209
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,2,0.1823,0.283,30.6375,33.3365,34.5728,209
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,3,0.1586,0.2616,30.2,33.1967,34.0779,209
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,4,0.1932,0.289,36.6836,42.8915,41.7274,209
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,5,0.1774,0.2826,33.9499,38.9548,39.4482,209
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,6,0.2233,0.3135,33.9553,35.8628,34.2434,209
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,7,0.4674,0.5991,48.6586,40.1815,35.4954,209
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,8,0.3277,0.4296,37.8508,28.9958,26.1058,209
hourly,test,gru_seq12_h128_l2_d0p0_lr0p001_bs64,9,0.3417,0.47,45.152,32.8117,28.4928,209
