epoch,train_loss,validation_loss
1,0.583073,0.428303
2,0.442672,0.411387
3,0.426766,0.400745
4,0.416635,0.389991
5,0.406566,0.375797
6,0.396377,0.36774
7,0.389997,0.361527
8,0.381961,0.352718
9,0.37882,0.354286
10,0.376201,0.347363
11,0.369776,0.352309
12,0.369518,0.344609
13,0.367526,0.34554
14,0.365719,0.351442
15,0.362003,0.351795
16,0.359846,0.347511
17,0.35983,0.347835
18,0.356945,0.34335
19,0.356594,0.347082
20,0.351919,0.350417
21,0.353566,0.346852
22,0.351851,0.345128
23,0.350401,0.348902
24,0.347634,0.348276
25,0.347542,0.357239
26,0.345137,0.343759
27,0.34557,0.347714
28,0.343266,0.342904
29,0.342451,0.346647
30,0.341655,0.350425
31,0.339693,0.350969
32,0.338377,0.343719
33,0.338143,0.355027
34,0.33807,0.352501
35,0.33617,0.351706
36,0.335752,0.359767
37,0.333782,0.352537
38,0.332777,0.35117
