epoch,train_loss,validation_loss
1,0.523029,0.419297
2,0.431596,0.391669
3,0.410115,0.368302
4,0.395184,0.358802
5,0.383515,0.35609
6,0.379002,0.350118
7,0.374503,0.354358
8,0.366923,0.353364
9,0.363957,0.350087
10,0.362932,0.351738
11,0.360022,0.351192
12,0.358084,0.346424
13,0.355471,0.345585
14,0.354757,0.347128
15,0.353513,0.344324
16,0.351585,0.34527
17,0.352513,0.346648
18,0.347934,0.353282
19,0.348592,0.350059
20,0.343424,0.346914
21,0.343364,0.365343
22,0.343462,0.354564
23,0.340888,0.349514
24,0.338109,0.350259
25,0.336564,0.352986
