epoch,train_loss,validation_loss
1,0.587567,0.435103
2,0.448763,0.414144
3,0.432822,0.400762
4,0.418979,0.384951
5,0.407719,0.379131
6,0.399901,0.364324
7,0.391737,0.363848
8,0.381634,0.356293
9,0.377162,0.350586
10,0.374262,0.350675
11,0.371395,0.351451
12,0.368506,0.348064
13,0.367044,0.346973
14,0.366287,0.347439
15,0.363709,0.345818
16,0.362844,0.345078
17,0.363046,0.345751
18,0.360445,0.352185
19,0.361353,0.345635
20,0.355998,0.346587
21,0.356651,0.354113
22,0.356696,0.353831
23,0.353451,0.342802
24,0.352181,0.34695
25,0.351652,0.35
26,0.351193,0.343652
27,0.352202,0.346833
28,0.350061,0.347344
29,0.350299,0.347594
30,0.348629,0.34361
31,0.347,0.350575
32,0.345252,0.35209
33,0.345773,0.345485
